pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.02	118	30701	260.18
9.60	4.75	124	32339	260.80
9.30	4.46	128	33652	262.91
9.00	4.18	133	35056	263.58
8.70	3.89	135	35832	265.42
8.40	3.61	145	38131	262.97
8.10	3.33	148	39235	265.10
7.80	3.05	151	40548	268.53
7.50	2.79	161	43452	269.89
7.20	2.50	166	45270	272.71
6.90	2.22	173	47630	275.32
6.60	1.99	195	53473	274.22
6.30	1.72	198	55034	277.95
6.00	1.45	207	57581	278.17
5.70	1.29	243	66796	274.88
5.40	1.05	258	70871	274.69
5.10	0.81	274	75321	274.89
4.80	0.70	345	91341	264.76
4.50	0.60	396	103897	262.37
4.20	0.42	484	123265	254.68
3.90	0.36	1001	227695	227.47
3.60	0.30	1257	281700	224.11
3.30	0.18	4139	885636	213.97
3.00	0.18	6367	1358304	213.34
2.70	0.14	11046	2372941	214.82
2.40	0.07	32776	7334618	223.78
2.10	0.07	62888	14414776	229.21
1.80	0.00	160366	39630475	247.13
1.50	0.00	289732	75256824	259.75
1.20	0.00	645832	190459577	294.91
0.90	0.00	1037413	336182501	324.06
0.60	0.00	1938928	884970166	456.42
0.30	0.00	2053843	1780631115	866.98
