pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.57	32	7986	249.56
9.60	4.29	33	8384	254.06
9.30	4.00	35	8906	254.46
9.00	3.74	39	9999	256.38
8.70	3.46	41	10435	254.51
8.40	3.19	44	11102	252.32
8.10	2.94	46	12014	261.17
7.80	2.66	46	12144	264.00
7.50	2.40	49	12806	261.35
7.20	2.20	55	14738	267.96
6.90	1.95	60	15917	265.28
6.60	1.71	69	17746	257.19
6.30	1.55	77	19724	256.16
6.00	1.38	87	21899	251.71
5.70	1.16	90	22768	252.98
5.40	1.02	118	28818	244.22
5.10	0.96	139	33064	237.87
4.80	0.76	165	39010	236.42
4.50	0.68	378	82520	218.31
4.20	0.67	495	107672	217.52
3.90	0.45	590	126949	215.17
3.60	0.44	2196	469959	214.01
3.30	0.40	3042	648728	213.26
3.00	0.27	10779	2366538	219.55
2.70	0.27	16254	3588004	220.75
2.40	0.12	42798	9964369	232.82
2.10	0.12	80711	19287549	238.97
1.80	0.03	104634	25156064	240.42
1.50	0.02	334458	90927640	271.87
1.20	0.00	711302	220891450	310.55
0.90	0.00	1124598	382316134	339.96
0.60	0.00	1910528	916631420	479.78
0.30	0.00	1973306	1764801774	894.34
