pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.48	353	91963	260.52
9.60	5.19	364	95263	261.71
9.30	4.90	376	98607	262.25
9.00	4.63	394	104903	266.25
8.70	4.34	400	107116	267.79
8.40	4.05	410	110383	269.23
8.10	3.79	439	118769	270.54
7.80	3.50	458	124164	271.10
7.50	3.22	481	130658	271.64
7.20	2.94	504	136597	271.03
6.90	2.67	529	145286	274.64
6.60	2.39	550	152018	276.40
6.30	2.12	582	161679	277.80
6.00	1.87	618	173473	280.70
5.70	1.60	651	183667	282.13
5.40	1.34	686	194166	283.04
5.10	1.16	749	214484	286.36
4.80	0.91	803	230829	287.46
4.50	0.73	958	269419	281.23
4.20	0.61	1074	298984	278.38
3.90	0.44	1276	346651	271.67
3.60	0.36	2200	548164	249.17
3.30	0.27	3185	764377	239.99
3.00	0.16	8148	1835156	225.23
2.70	0.16	11615	2593415	223.28
2.40	0.07	20300	4500667	221.71
2.10	0.04	58832	13505665	229.56
1.80	0.00	106262	24973455	235.02
1.50	0.00	270963	69426579	256.22
1.20	0.00	448962	120588873	268.59
0.90	0.00	1156230	383656487	331.82
0.60	0.00	1935918	841373894	434.61
0.30	0.00	2189061	1707127068	779.84
