pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.96	95	23168	243.87
9.60	4.68	103	25081	243.50
9.30	4.41	109	26519	243.29
9.00	4.12	111	27215	245.18
8.70	3.84	118	28879	244.74
8.40	3.57	131	31972	244.06
8.10	3.30	140	34688	247.77
7.80	3.02	149	36699	246.30
7.50	2.75	163	40203	246.64
7.20	2.49	173	42917	248.08
6.90	2.22	182	45358	249.22
6.60	1.97	198	49866	251.85
6.30	1.69	205	52508	256.14
6.00	1.51	234	59225	253.10
5.70	1.25	249	63651	255.63
5.40	1.04	268	70278	262.23
5.10	0.86	329	83697	254.40
4.80	0.79	368	93305	253.55
4.50	0.61	438	109552	250.12
4.20	0.42	850	194207	228.48
3.90	0.42	1046	234858	224.53
3.60	0.36	1484	326595	220.08
3.30	0.19	5752	1218947	211.92
3.00	0.19	9651	2036734	211.04
2.70	0.18	11992	2532353	211.17
2.40	0.06	45263	10102680	223.20
2.10	0.06	80468	18331473	227.81
1.80	0.00	215755	54864658	254.29
1.50	0.00	425353	113496620	266.83
1.20	0.00	495358	132635051	267.76
0.90	0.00	1456136	526134321	361.32
0.60	0.00	2019960	1031131527	510.47
0.30	0.00	2206999	1758556780	796.81
