pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.97	100	27233	272.33
9.60	4.69	103	28239	274.17
9.30	4.42	106	29431	277.65
9.00	4.14	111	31106	280.23
8.70	3.85	112	32176	287.29
8.40	3.57	116	33532	289.07
8.10	3.31	122	35766	293.16
7.80	3.04	128	37612	293.84
7.50	2.77	139	40351	290.29
7.20	2.48	145	41735	287.83
6.90	2.24	157	46149	293.94
6.60	1.99	175	50833	290.47
6.30	1.71	182	52510	288.52
6.00	1.51	196	57545	293.60
5.70	1.30	229	65796	287.32
5.40	1.05	244	69830	286.19
5.10	0.83	285	79977	280.62
4.80	0.82	350	95881	273.95
4.50	0.61	381	103353	271.27
4.20	0.38	623	154337	247.73
3.90	0.38	1010	237445	235.09
3.60	0.34	1275	293818	230.45
3.30	0.16	3929	862029	219.40
3.00	0.16	7900	1722812	218.08
2.70	0.16	10593	2306559	217.74
2.40	0.07	43874	10086386	229.89
2.10	0.07	73996	17239680	232.98
1.80	0.00	101060	23872353	236.22
1.50	0.00	384790	104186179	270.76
1.20	0.00	531452	148557746	279.53
0.90	0.00	1381045	498035303	360.62
0.60	0.00	2049751	988791744	482.40
0.30	0.00	2134394	1799381139	843.04
