pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.44	18	5825	323.61
9.60	4.32	22	6853	311.50
9.30	4.06	22	7032	319.64
9.00	3.81	26	7864	302.46
8.70	3.53	26	8048	309.54
8.40	3.29	48	12789	266.44
8.10	3.17	50	13415	268.30
7.80	2.92	54	14501	268.54
7.50	2.68	62	16102	259.71
7.20	2.40	66	16965	257.05
6.90	2.30	118	28718	243.37
6.60	2.14	143	33624	235.13
6.30	1.94	185	42167	227.93
6.00	1.66	198	44916	226.85
5.70	1.44	401	86805	216.47
5.40	1.44	483	104213	215.76
5.10	1.29	639	136377	213.42
4.80	1.03	693	147887	213.40
4.50	0.80	1728	366056	211.84
4.20	0.80	2242	472864	210.91
3.90	0.80	3155	663706	210.37
3.60	0.55	3361	708375	210.76
3.30	0.37	13198	2889085	218.90
3.00	0.37	24335	5387212	221.38
2.70	0.37	28784	6381133	221.69
2.40	0.23	34912	7792319	223.20
2.10	0.12	182387	46013938	252.29
1.80	0.12	287117	74238602	258.57
1.50	0.12	346476	90905691	262.37
1.20	0.00	1208462	426512048	352.94
0.90	0.00	1822330	727617974	399.28
0.60	0.00	1935031	798985495	412.91
0.30	0.00	314159	2927025559	9317.02
