pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.00	8	2677	334.62
9.60	3.71	8	2677	334.62
9.30	3.42	8	2686	335.75
9.00	3.14	8	2692	336.50
8.70	2.86	8	2734	341.75
8.40	2.57	8	2738	342.25
8.10	2.34	9	2974	330.44
7.80	2.08	9	3106	345.11
7.50	1.83	10	3373	337.30
7.20	1.57	10	3454	345.40
6.90	1.47	11	3617	328.82
6.60	1.27	11	3635	330.45
6.30	1.03	12	3925	327.08
6.00	0.83	15	4475	298.33
5.70	0.83	24	5960	248.33
5.40	0.66	29	6932	239.03
5.10	0.42	32	7837	244.91
4.80	0.41	78	17084	219.03
4.50	0.41	105	22273	212.12
4.20	0.23	152	31136	204.84
3.90	0.23	660	127164	192.67
3.60	0.23	925	177161	191.53
3.30	0.16	1543	295158	191.29
3.00	0.16	7017	1389895	198.08
2.70	0.13	9451	1879340	198.85
2.40	0.05	42650	9106966	213.53
2.10	0.05	68482	14834214	216.61
1.80	0.01	105815	23364192	220.80
1.50	0.00	373702	93992824	251.52
1.20	0.00	560469	146601413	261.57
0.90	0.00	1390450	463459254	333.32
0.60	0.00	1891510	709554543	375.13
0.30	0.00	2341419	1729262513	738.55
