pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.15	187	43960	235.08
9.60	4.88	196	46445	236.96
9.30	4.59	202	47955	237.40
9.00	4.30	204	48777	239.10
8.70	4.02	210	50529	240.61
8.40	3.74	220	53972	245.33
8.10	3.46	223	55155	247.33
7.80	3.17	231	57286	247.99
7.50	2.89	241	59670	247.59
7.20	2.63	252	63163	250.65
6.90	2.35	259	65245	251.91
6.60	2.08	267	67974	254.58
6.30	1.84	283	72833	257.36
6.00	1.58	300	76878	256.26
5.70	1.33	326	82829	254.08
5.40	1.05	337	85512	253.74
5.10	0.92	383	96100	250.91
4.80	0.76	432	107766	249.46
4.50	0.52	457	113704	248.81
4.20	0.45	704	164645	233.87
3.90	0.44	979	219089	223.79
3.60	0.24	1164	256207	220.11
3.30	0.18	3444	689396	200.17
3.00	0.18	6260	1236695	197.56
2.70	0.05	7839	1540824	196.56
2.40	0.03	38765	7900690	203.81
2.10	0.03	58835	12097203	205.61
1.80	0.00	182002	40708107	223.67
1.50	0.00	351018	82852958	236.04
1.20	0.00	797130	217028892	272.26
0.90	0.00	1441462	450529107	312.55
0.60	0.00	2271963	997354630	438.98
0.30	0.00	2441148	1744269860	714.53
