pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.91	91	21964	241.36
9.60	4.63	97	23469	241.95
9.30	4.35	98	23942	244.31
9.00	4.06	101	24693	244.49
8.70	3.79	109	26741	245.33
8.40	3.51	113	27827	246.26
8.10	3.23	115	28621	248.88
7.80	2.95	120	30015	250.12
7.50	2.70	140	34450	246.07
7.20	2.42	143	35437	247.81
6.90	2.14	148	37039	250.26
6.60	1.86	153	38449	251.30
6.30	1.68	169	42650	252.37
6.00	1.43	177	45220	255.48
5.70	1.18	190	48556	255.56
5.40	0.95	202	51895	256.91
5.10	0.92	263	65291	248.25
4.80	0.72	298	72654	243.81
4.50	0.51	352	84083	238.87
4.20	0.41	689	149304	216.70
3.90	0.41	1018	213086	209.32
3.60	0.32	1285	265233	206.41
3.30	0.17	4130	817127	197.85
3.00	0.17	9013	1794492	199.10
2.70	0.17	14536	2920093	200.89
2.40	0.04	42065	8829447	209.90
2.10	0.04	91457	20019797	218.90
1.80	0.04	151560	33992583	224.28
1.50	0.00	486943	126006644	258.77
1.20	0.00	851005	238414140	280.16
0.90	0.00	1067068	310170578	290.68
0.60	0.00	2380471	1151440837	483.70
0.30	0.00	1541823	2337258153	1515.91
