pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.94	49	14740	300.82
9.60	4.72	64	18873	294.89
9.30	4.45	76	22547	296.67
9.00	4.19	81	23737	293.05
8.70	3.98	101	29201	289.12
8.40	3.71	120	34977	291.48
8.10	3.46	137	39241	286.43
7.80	3.21	156	44964	288.23
7.50	2.98	195	56915	291.87
7.20	2.74	222	66039	297.47
6.90	2.48	262	80447	307.05
6.60	2.30	349	108475	310.82
6.30	2.05	413	127974	309.86
6.00	1.81	502	156925	312.60
5.70	1.65	683	222414	325.64
5.40	1.40	779	255996	328.62
5.10	1.20	972	331217	340.76
4.80	1.08	1391	512244	368.26
4.50	0.87	1672	629328	376.39
4.20	0.69	2225	874425	393.00
3.90	0.63	3535	1465775	414.65
3.60	0.43	5132	2174695	423.75
3.30	0.31	9931	4318253	434.83
3.00	0.30	13962	6215283	445.16
2.70	0.17	21066	9623275	456.82
2.40	0.10	54347	25724405	473.34
2.10	0.09	91099	45055856	494.58
1.80	0.00	221892	122290396	551.13
1.50	0.00	359213	218089655	607.13
1.20	0.00	668134	529566603	792.61
0.90	0.00	881056	908918886	1031.62
0.60	0.00	774864	1841840778	2376.99
0.30	0.00	244604	2578252767	10540.52
