pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.81	37	13608	367.78
9.60	4.58	48	16079	334.98
9.30	4.32	53	17732	334.57
9.00	4.06	59	20032	339.53
8.70	3.77	62	20930	337.58
8.40	3.57	84	27398	326.17
8.10	3.30	88	28406	322.80
7.80	3.05	101	32550	322.28
7.50	2.85	135	43065	319.00
7.20	2.59	148	46257	312.55
6.90	2.35	170	54437	320.22
6.60	2.09	185	60565	327.38
6.30	1.95	256	87103	340.25
6.00	1.71	306	103940	339.67
5.70	1.47	354	121014	341.85
5.40	1.37	548	194656	355.21
5.10	1.16	685	247537	361.37
4.80	0.93	832	303318	364.56
4.50	0.84	1533	589938	384.83
4.20	0.75	2090	808902	387.03
3.90	0.50	2420	946060	390.93
3.60	0.44	5543	2329860	420.32
3.30	0.42	8102	3438553	424.41
3.00	0.19	22095	10066595	455.61
2.70	0.19	35127	16239860	462.32
2.40	0.14	43330	20212461	466.48
2.10	0.03	131540	70582087	536.58
1.80	0.03	204591	114249390	558.43
1.50	0.00	448668	327775278	730.55
1.20	0.00	655290	540644312	825.05
0.90	0.00	841602	1132786821	1345.99
0.60	0.00	789066	1751472421	2219.68
0.30	0.00	219264	2588775401	11806.66
