pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.64	33	10431	316.09
9.60	4.35	37	11187	302.35
9.30	4.08	38	11450	301.32
9.00	3.87	46	14532	315.91
8.70	3.61	47	16538	351.87
8.40	3.35	53	18345	346.13
8.10	3.07	55	18886	343.38
7.80	2.90	70	22444	320.63
7.50	2.67	82	25807	314.72
7.20	2.40	92	29105	316.36
6.90	2.26	127	40695	320.43
6.60	2.05	147	46082	313.48
6.30	1.79	160	51398	321.24
6.00	1.55	251	79268	315.81
5.70	1.49	334	104544	313.01
5.40	1.25	411	133226	324.15
5.10	1.00	451	146256	324.29
4.80	0.97	938	323811	345.21
4.50	0.80	1154	404086	350.16
4.20	0.58	1411	503267	356.67
3.90	0.53	3306	1239863	375.03
3.60	0.45	4375	1665499	380.69
3.30	0.27	6073	2372765	390.71
3.00	0.27	15363	6393699	416.18
2.70	0.19	21802	9297804	426.47
2.40	0.08	64384	29871980	463.97
2.10	0.08	108289	52290928	482.88
1.80	0.00	156912	79678767	507.79
1.50	0.00	445137	285726421	641.88
1.20	0.00	614854	450455484	732.62
0.90	0.00	914756	1162464817	1270.79
0.60	0.00	860058	1613291885	1875.79
0.30	0.00	224590	2586072404	11514.64
