pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.04	12	4615	384.58
9.60	3.77	12	4721	393.42
9.30	3.47	12	4727	393.92
9.00	3.19	12	4954	412.83
8.70	2.90	13	5138	395.23
8.40	2.68	15	5797	386.47
8.10	2.39	15	5823	388.20
7.80	2.11	17	6344	373.18
7.50	1.89	17	6719	395.24
7.20	1.62	17	6768	398.12
6.90	1.34	17	6803	400.18
6.60	1.11	19	7573	398.58
6.30	1.01	21	8046	383.14
6.00	0.76	22	8271	375.95
5.70	0.54	23	8628	375.13
5.40	0.49	32	10871	339.72
5.10	0.44	36	12521	347.81
4.80	0.26	41	14331	349.54
4.50	0.21	120	34410	286.75
4.20	0.21	170	46972	276.31
3.90	0.12	266	78584	295.43
3.60	0.08	1443	455105	315.39
3.30	0.08	1840	594679	323.20
3.00	0.02	10982	4133159	376.36
2.70	0.02	17084	6587255	385.58
2.40	0.02	28210	11240090	398.44
2.10	0.00	112192	53775225	479.31
1.80	0.00	192333	99242038	515.99
1.50	0.00	437295	297233893	679.71
1.20	0.00	666972	541476619	811.84
0.90	0.00	854245	1226158524	1435.37
0.60	0.00	783504	1736045452	2215.75
0.30	0.00	201754	2603228663	12902.98
