pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.77	41	12579	306.80
9.60	4.51	47	13815	293.94
9.30	4.24	50	14531	290.62
9.00	4.07	65	18836	289.78
8.70	3.81	71	20114	283.30
8.40	3.56	76	22067	290.36
8.10	3.30	86	26059	303.01
7.80	3.13	117	36266	309.97
7.50	2.87	132	40894	309.80
7.20	2.66	156	48521	311.03
6.90	2.41	243	72568	298.63
6.60	2.25	273	85186	312.04
6.30	2.06	348	108640	312.18
6.00	1.80	390	122053	312.96
5.70	1.66	647	208879	322.84
5.40	1.48	868	293038	337.60
5.10	1.28	1016	351482	345.95
4.80	1.04	1781	647699	363.67
4.50	1.02	2300	871829	379.06
4.20	0.85	3005	1162494	386.85
3.90	0.60	3361	1310809	390.01
3.60	0.57	7436	3086530	415.08
3.30	0.51	10498	4464210	425.24
3.00	0.28	12226	5262718	430.45
2.70	0.23	35455	15856248	447.22
2.40	0.23	56369	25791626	457.55
2.10	0.07	149607	77279712	516.55
1.80	0.07	274685	154136951	561.14
1.50	0.04	373307	225709097	604.62
1.20	0.00	781865	742681773	949.88
0.90	0.00	904216	1072970616	1186.63
0.60	0.00	611554	2089080371	3416.02
0.30	0.00	348227	2446402189	7025.31
