pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.64	33	13072	396.12
9.60	4.36	33	13102	397.03
9.30	4.09	40	15910	397.75
9.00	3.94	43	16747	389.47
8.70	3.67	45	17303	384.51
8.40	3.42	53	18761	353.98
8.10	3.14	56	19363	345.77
7.80	2.90	82	26658	325.10
7.50	2.83	97	29443	303.54
7.20	2.58	115	33674	292.82
6.90	2.35	144	39393	273.56
6.60	2.08	151	41453	274.52
6.30	1.92	347	81487	234.83
6.00	1.85	410	95374	232.62
5.70	1.64	495	113759	229.82
5.40	1.37	530	121955	230.10
5.10	1.12	592	136513	230.60
4.80	1.09	1393	318366	228.55
4.50	1.01	1872	430638	230.04
4.20	0.80	2165	504736	233.13
3.90	0.57	2447	574977	234.97
3.60	0.46	8469	2281253	269.37
3.30	0.46	13569	3804109	280.35
3.00	0.44	16045	4606599	287.10
2.70	0.22	20900	6201530	296.72
2.40	0.14	122696	47635775	388.24
2.10	0.14	197712	82315347	416.34
1.80	0.14	255986	112596215	439.85
1.50	0.00	648445	477671902	736.64
1.20	0.00	984565	983304747	998.72
0.90	0.00	1018258	1195853384	1174.41
0.60	0.00	537537	2292498521	4264.82
0.30	0.00	496	2569519558	5180482.98
