pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.15	17	5645	332.06
9.60	3.86	17	5667	333.35
9.30	3.57	18	5896	327.56
9.00	3.31	18	6145	341.39
8.70	3.02	19	7289	383.63
8.40	2.73	19	7371	387.95
8.10	2.47	19	7524	396.00
7.80	2.19	19	7539	396.79
7.50	1.91	20	7788	389.40
7.20	1.62	20	7824	391.20
6.90	1.45	24	9126	380.25
6.60	1.20	24	9179	382.46
6.30	0.93	25	9471	378.84
6.00	0.87	28	10265	366.61
5.70	0.67	29	10789	372.03
5.40	0.45	31	12005	387.26
5.10	0.37	53	18412	347.40
4.80	0.37	64	22678	354.34
4.50	0.23	73	25369	347.52
4.20	0.15	279	85953	308.08
3.90	0.15	447	135353	302.80
3.60	0.06	522	162603	311.50
3.30	0.05	2952	1043726	353.57
3.00	0.05	5214	1888277	362.16
2.70	0.00	21153	8640559	408.48
2.40	0.00	41383	17463569	422.00
2.10	0.00	113024	56404836	499.05
1.80	0.00	234432	128256247	547.09
1.50	0.00	300157	170824600	569.12
1.20	0.00	708410	617806951	872.10
0.90	0.00	855960	1174014564	1371.58
0.60	0.00	726163	1872607313	2578.77
0.30	0.00	187658	2619733768	13960.15
