pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.42	23	6186	268.96
9.60	4.15	27	7020	260.00
9.30	3.87	29	7472	257.66
9.00	3.59	29	7512	259.03
8.70	3.36	32	8537	266.78
8.40	3.09	34	9176	269.88
8.10	2.81	36	9621	267.25
7.80	2.60	39	10937	280.44
7.50	2.35	42	11557	275.17
7.20	2.07	45	12198	271.07
6.90	1.86	56	15446	275.82
6.60	1.66	67	18055	269.48
6.30	1.41	71	19485	274.44
6.00	1.17	96	26412	275.12
5.70	1.09	118	33329	282.45
5.40	0.87	136	38224	281.06
5.10	0.63	223	63798	286.09
4.80	0.63	270	79069	292.85
4.50	0.49	344	103295	300.28
4.20	0.31	715	225679	315.63
3.90	0.31	1110	363378	327.37
3.60	0.22	1388	462212	333.01
3.30	0.11	4235	1488851	351.56
3.00	0.11	7866	2830022	359.78
2.70	0.00	24358	9629787	395.34
2.40	0.00	48237	20007505	414.78
2.10	0.00	68231	29056715	425.86
1.80	0.00	240852	127110898	527.76
1.50	0.00	344011	192502721	559.58
1.20	0.00	727276	610442750	839.36
0.90	0.00	894975	910620875	1017.48
0.60	0.00	768339	1846098666	2402.71
0.30	0.00	231616	2587802422	11172.81
