pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.45	209	64913	310.59
9.60	5.18	229	70900	309.61
9.30	4.93	260	80973	311.43
9.00	4.70	312	97763	313.34
8.70	4.44	351	107782	307.07
8.40	4.19	411	126936	308.85
8.10	3.92	456	142495	312.49
7.80	3.70	581	183643	316.08
7.50	3.45	664	211341	318.28
7.20	3.19	752	245011	325.81
6.90	3.00	998	334953	335.62
6.60	2.74	1120	381413	340.55
6.30	2.49	1264	435520	344.56
6.00	2.26	1524	532834	349.63
5.70	2.05	1938	701884	362.17
5.40	1.81	2230	829836	372.12
5.10	1.59	2685	1029045	383.26
4.80	1.41	3537	1442525	407.84
4.50	1.19	4222	1762016	417.34
4.20	0.97	5012	2142066	427.39
3.90	0.85	6889	3146851	456.79
3.60	0.69	9267	4438733	478.98
3.30	0.45	10689	5239213	490.15
3.00	0.42	18505	9393908	507.64
2.70	0.29	26951	13996215	519.32
2.40	0.10	60998	32147070	527.02
2.10	0.10	102317	55824963	545.61
1.80	0.00	134294	76256071	567.83
1.50	0.00	401367	276720030	689.44
1.20	0.00	525407	398035873	757.58
0.90	0.00	844081	1120143703	1327.06
0.60	0.00	831054	1533376755	1845.10
0.30	0.00	242055	2555151868	10556.08
