pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.74	31	10470	337.74
9.60	4.48	36	11516	319.89
9.30	4.21	38	12045	316.97
9.00	4.02	51	14976	293.65
8.70	3.76	54	15650	289.81
8.40	3.51	59	16790	284.58
8.10	3.27	67	18654	278.42
7.80	3.09	88	24344	276.64
7.50	2.83	101	27149	268.80
7.20	2.62	118	31677	268.45
6.90	2.37	173	45023	260.25
6.60	2.21	196	50695	258.65
6.30	2.01	253	65434	258.63
6.00	1.76	291	74756	256.89
5.70	1.63	437	113271	259.20
5.40	1.44	599	154341	257.66
5.10	1.23	686	177293	258.44
4.80	1.01	1124	294690	262.18
4.50	0.97	1480	390248	263.68
4.20	0.80	1963	522468	266.16
3.90	0.57	2285	608643	266.36
3.60	0.54	4628	1241115	268.18
3.30	0.47	6835	1845914	270.07
3.00	0.25	8077	2194806	271.74
2.70	0.21	21587	5847739	270.89
2.40	0.21	35338	9581567	271.14
2.10	0.05	89475	24850558	277.74
1.80	0.05	169979	48124661	283.12
1.50	0.02	257367	74303765	288.71
1.20	0.00	754412	255967218	339.29
0.90	0.00	1144613	416030552	363.47
0.60	0.00	1962226	1112059071	566.73
0.30	0.00	2179206	1585297121	727.47
