pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.35	20	7324	366.20
9.60	4.06	20	7328	366.40
9.30	3.77	20	7341	367.05
9.00	3.65	24	9079	378.29
8.70	3.38	25	9320	372.80
8.40	3.11	27	9692	358.96
8.10	2.83	27	9724	360.15
7.80	2.66	32	11496	359.25
7.50	2.48	37	12501	337.86
7.20	2.20	39	12885	330.38
6.90	1.93	43	13731	319.33
6.60	1.68	66	19086	289.18
6.30	1.68	89	23593	265.09
6.00	1.48	100	25716	257.16
5.70	1.22	108	27460	254.26
5.40	0.98	122	30228	247.77
5.10	0.95	291	65209	224.09
4.80	0.94	376	82258	218.77
4.50	0.71	456	98467	215.94
4.20	0.45	475	102435	215.65
3.90	0.44	2007	424802	211.66
3.60	0.44	2445	516114	211.09
3.30	0.34	3088	649964	210.48
3.00	0.14	15585	3485455	223.64
2.70	0.14	25203	5624843	223.18
2.40	0.14	34879	7801043	223.66
2.10	0.04	40606	9101795	224.15
1.80	0.03	273518	71139455	260.09
1.50	0.03	386070	101955028	264.08
1.20	0.00	828366	275287042	332.33
0.90	0.00	1885888	771107542	408.88
0.60	0.00	2147322	932689925	434.35
0.30	0.00	604784	2805922594	4639.55
