pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.59	28	11372	406.14
9.60	4.32	28	11444	408.71
9.30	4.08	32	13479	421.22
9.00	3.88	36	14275	396.53
8.70	3.62	37	14518	392.38
8.40	3.37	43	15726	365.72
8.10	3.08	45	16125	358.33
7.80	2.86	61	21290	349.02
7.50	2.76	69	22773	330.04
7.20	2.51	78	24539	314.60
6.90	2.29	101	29229	289.40
6.60	2.02	109	30823	282.78
6.30	1.88	245	59856	244.31
6.00	1.77	291	68976	237.03
5.70	1.57	372	85336	229.40
5.40	1.32	415	94461	227.62
5.10	1.08	474	106922	225.57
4.80	1.05	986	213461	216.49
4.50	0.96	1349	288413	213.80
4.20	0.75	1568	333940	212.97
3.90	0.52	1808	383743	212.25
3.60	0.42	5292	1135450	214.56
3.30	0.42	8573	1845626	215.28
3.00	0.40	11527	2492107	216.20
2.70	0.19	13770	2991208	217.23
2.40	0.11	76193	17762786	233.13
2.10	0.11	133329	31808491	238.57
1.80	0.11	186028	45304202	243.53
1.50	0.00	667751	202963932	303.95
1.20	0.00	1322288	440301950	332.98
0.90	0.00	1669417	594684835	356.22
0.60	0.00	1431158	1804416810	1260.81
0.30	0.00	45464	2936271640	64584.54
