pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.13	14	4151	296.50
9.60	3.83	14	4178	298.43
9.30	3.55	15	4381	292.07
9.00	3.29	15	4550	303.33
8.70	3.00	15	4556	303.73
8.40	2.71	15	4585	305.67
8.10	2.44	15	4765	317.67
7.80	2.16	15	4771	318.07
7.50	1.89	17	5327	313.35
7.20	1.59	17	5357	315.12
6.90	1.42	20	6427	321.35
6.60	1.17	20	6476	323.80
6.30	0.90	20	6513	325.65
6.00	0.84	23	7333	318.83
5.70	0.65	24	7717	321.54
5.40	0.43	24	7764	323.50
5.10	0.35	41	12037	293.59
4.80	0.35	49	14002	285.76
4.50	0.20	56	15609	278.73
4.20	0.14	183	42428	231.85
3.90	0.14	275	62213	226.23
3.60	0.03	326	72850	223.47
3.30	0.02	1500	331687	221.12
3.00	0.02	2835	624636	220.33
2.70	0.00	10434	2417234	231.67
2.40	0.00	21683	5069627	233.81
2.10	0.00	61688	15520249	251.59
1.80	0.00	136321	35398643	259.67
1.50	0.00	176109	46025793	261.35
1.20	0.00	627841	195990659	312.17
0.90	0.00	1159628	437161490	376.98
0.60	0.00	1848048	840119483	454.60
0.30	0.00	1950024	1856753363	952.17
