pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.91	45	16140	358.67
9.60	4.67	54	18168	336.44
9.30	4.44	63	20608	327.11
9.00	4.18	66	21455	325.08
8.70	3.92	71	22883	322.30
8.40	3.70	86	26295	305.76
8.10	3.47	97	29254	301.59
7.80	3.22	111	32855	295.99
7.50	3.02	139	39996	287.74
7.20	2.78	154	44039	285.97
6.90	2.58	184	52761	286.74
6.60	2.36	247	68518	277.40
6.30	2.17	306	83490	272.84
6.00	1.93	387	101904	263.32
5.70	1.77	538	142404	264.69
5.40	1.57	763	200510	262.79
5.10	1.36	884	232753	263.30
4.80	1.22	1268	333668	263.15
4.50	1.06	1847	487967	264.19
4.20	0.87	2475	656603	265.29
3.90	0.66	3503	930973	265.76
3.60	0.64	5346	1445665	270.42
3.30	0.45	7218	1986887	275.27
3.00	0.25	14674	3978946	271.16
2.70	0.25	22204	6134329	276.27
2.40	0.15	29369	8253193	281.02
2.10	0.04	86904	24425201	281.06
1.80	0.04	130641	37425323	286.47
1.50	0.00	218135	65709397	301.23
1.20	0.00	624876	207227443	331.63
0.90	0.00	965818	349693144	362.07
0.60	0.00	1872565	987944620	527.59
0.30	0.00	2133597	1498051103	702.12
