pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.78	31	10592	341.68
9.60	4.55	40	12688	317.20
9.30	4.29	45	14034	311.87
9.00	4.03	48	14693	306.10
8.70	3.75	49	15028	306.69
8.40	3.55	69	19768	286.49
8.10	3.27	71	20358	286.73
7.80	3.02	81	22509	277.89
7.50	2.83	106	29164	275.13
7.20	2.57	118	31774	269.27
6.90	2.32	131	35172	268.49
6.60	2.06	139	37199	267.62
6.30	1.92	196	52741	269.09
6.00	1.69	223	59938	268.78
5.70	1.44	259	68654	265.07
5.40	1.34	378	99020	261.96
5.10	1.13	460	120797	262.60
4.80	0.91	560	146633	261.84
4.50	0.82	943	243522	258.24
4.20	0.72	1350	352635	261.21
3.90	0.49	1530	399962	261.41
3.60	0.43	3288	843274	256.47
3.30	0.40	4953	1270248	256.46
3.00	0.17	12252	3097944	252.85
2.70	0.17	20635	5220529	252.99
2.40	0.12	25675	6504660	253.35
2.10	0.02	80424	21165821	263.18
1.80	0.02	125647	33369330	265.58
1.50	0.00	336348	99076162	294.56
1.20	0.00	577013	176761579	306.34
0.90	0.00	1169684	440526088	376.62
0.60	0.00	1815628	796052307	438.44
0.30	0.00	2000330	1844264985	921.98
