pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.00	12	2992	249.33
9.60	3.72	12	3030	252.50
9.30	3.43	12	3040	253.33
9.00	3.14	12	3045	253.75
8.70	2.85	12	3090	257.50
8.40	2.61	13	3465	266.54
8.10	2.32	14	3716	265.43
7.80	2.05	14	3819	272.79
7.50	1.82	15	4153	276.87
7.20	1.55	17	4733	278.41
6.90	1.28	17	4963	291.94
6.60	1.04	17	5273	310.18
6.30	0.93	17	5323	313.12
6.00	0.69	18	5623	312.39
5.70	0.48	20	6063	303.15
5.40	0.45	23	6960	302.61
5.10	0.37	26	7850	301.92
4.80	0.22	31	9087	293.13
4.50	0.16	74	18372	248.27
4.20	0.16	101	24387	241.46
3.90	0.08	159	37769	237.54
3.60	0.05	692	156723	226.48
3.30	0.05	929	209274	225.27
3.00	0.00	4868	1126525	231.41
2.70	0.00	7973	1850170	232.05
2.40	0.00	14533	3415706	235.03
2.10	0.00	52706	13357819	253.44
1.80	0.00	102550	26647712	259.85
1.50	0.00	287227	83909455	292.14
1.20	0.00	546828	169822970	310.56
0.90	0.00	1174773	456777587	388.82
0.60	0.00	1710267	755575508	441.79
0.30	0.00	1961881	1803721911	919.38
