pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.91	36	8711	241.97
9.60	4.68	44	10359	235.43
9.30	4.42	52	11999	230.75
9.00	4.16	55	12637	229.76
8.70	3.95	69	15806	229.07
8.40	3.69	84	18916	225.19
8.10	3.43	99	22206	224.30
7.80	3.19	114	25635	224.87
7.50	2.96	144	33002	229.18
7.20	2.71	167	39115	234.22
6.90	2.46	194	45997	237.10
6.60	2.27	258	61767	239.41
6.30	2.02	302	72598	240.39
6.00	1.79	373	90172	241.75
5.70	1.62	492	119645	243.18
5.40	1.38	556	137140	246.65
5.10	1.19	692	173661	250.96
4.80	1.05	905	230543	254.74
4.50	0.83	1082	278298	257.21
4.20	0.66	1492	393577	263.79
3.90	0.61	2208	577905	261.73
3.60	0.41	3164	829618	262.21
3.30	0.29	5785	1469683	254.05
3.00	0.27	8003	2027834	253.38
2.70	0.15	12552	3161314	251.86
2.40	0.08	30915	7649139	247.42
2.10	0.08	53093	13211330	248.83
1.80	0.00	136014	34861809	256.31
1.50	0.00	238434	63059203	264.47
1.20	0.00	563638	164970858	292.69
0.90	0.00	959581	305326255	318.19
0.60	0.00	1952982	867282419	444.08
0.30	0.00	2044513	1807648625	884.15
