pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.39	17	4698	276.35
9.60	4.11	19	5148	270.95
9.30	3.84	20	5334	266.70
9.00	3.56	23	5861	254.83
8.70	3.33	25	6625	265.00
8.40	3.07	26	6865	264.04
8.10	2.78	27	7138	264.37
7.80	2.57	34	8767	257.85
7.50	2.31	36	9228	256.33
7.20	2.04	38	9711	255.55
6.90	1.84	46	11929	259.33
6.60	1.63	52	13224	254.31
6.30	1.37	52	13372	257.15
6.00	1.15	80	19735	246.69
5.70	1.06	91	22516	247.43
5.40	0.83	108	26198	242.57
5.10	0.61	178	41605	233.74
4.80	0.61	209	49227	235.54
4.50	0.47	257	61325	238.62
4.20	0.29	492	114252	232.22
3.90	0.29	735	168520	229.28
3.60	0.20	892	203460	228.09
3.30	0.10	2334	523279	224.20
3.00	0.10	4389	977912	222.81
2.70	0.00	12211	2766876	226.59
2.40	0.00	25518	5849214	229.22
2.10	0.00	35279	8113104	229.97
1.80	0.00	139926	35053402	250.51
1.50	0.00	211168	53747545	254.53
1.20	0.00	628782	187520126	298.23
0.90	0.00	974987	309228699	317.16
0.60	0.00	1931548	847061650	438.54
0.30	0.00	2062776	1802694638	873.92
