pscore	qscore	npeaks	lpeaks	avelpeak
9.90	3.99	9	3192	354.67
9.60	3.70	9	3206	356.22
9.30	3.45	10	3616	361.60
9.00	3.16	10	3634	363.40
8.70	2.88	11	3869	351.73
8.40	2.60	13	4258	327.54
8.10	2.32	13	4288	329.85
7.80	2.17	15	5042	336.13
7.50	1.91	15	5054	336.93
7.20	1.67	16	5330	333.12
6.90	1.40	16	5456	341.00
6.60	1.13	18	5906	328.11
6.30	1.12	29	8693	299.76
6.00	1.05	34	9936	292.24
5.70	0.89	39	10933	280.33
5.40	0.62	39	10991	281.82
5.10	0.48	92	22606	245.72
4.80	0.48	140	32451	231.79
4.50	0.48	244	52856	216.62
4.20	0.40	278	59795	215.09
3.90	0.18	341	72332	212.12
3.60	0.17	2496	514829	206.26
3.30	0.17	4818	999025	207.35
3.00	0.17	6476	1347021	208.00
2.70	0.05	6794	1413808	208.10
2.40	0.04	66302	15112871	227.94
2.10	0.04	115036	26772808	232.73
1.80	0.04	146227	34396633	235.23
1.50	0.00	646056	191711971	296.74
1.20	0.00	1308124	426143601	325.77
0.90	0.00	1599313	550345824	344.11
0.60	0.00	1547696	1859175619	1201.25
0.30	0.00	64502	2986543258	46301.56
