sample,Peaks,Ind,Tx,Ab,Type,Sample Det,Treatment,Ind_ab,Ind_Type
MCW_SP_ChIP69,45688,Ind1,VEH,RAD21,ChIP_DNA,Ind1_VEH_RAD21,VEH_RAD21,Ind1_RAD21,Ind1_ChIP_DNA
MCW_SP_ChIP70,10945,Ind1,DOX,RAD21,ChIP_DNA,Ind1_DOX_RAD21,DOX_RAD21,Ind1_RAD21,Ind1_ChIP_DNA
MCW_SP_ChIP71,15163,Ind2,VEH,RAD21,ChIP_DNA,Ind2_VEH_RAD21,VEH_RAD21,Ind2_RAD21,Ind2_ChIP_DNA
MCW_SP_ChIP72,57,Ind2,DOX,RAD21,ChIP_DNA,Ind2_DOX_RAD21,DOX_RAD21,Ind2_RAD21,Ind2_ChIP_DNA
MCW_SP_ChIP73,55013,Ind3,VEH,RAD21,ChIP_DNA,Ind3_VEH_RAD21,VEH_RAD21,Ind3_RAD21,Ind3_ChIP_DNA
MCW_SP_ChIP74,25901,Ind3,DOX,RAD21,ChIP_DNA,Ind3_DOX_RAD21,DOX_RAD21,Ind3_RAD21,Ind3_ChIP_DNA
