pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.61	52	11903	228.90
9.60	5.36	61	13507	221.43
9.30	5.11	79	16739	211.89
9.00	4.87	90	18756	208.40
8.70	4.60	96	19845	206.72
8.40	4.34	112	22722	202.88
8.10	4.13	150	30124	200.83
7.80	3.86	168	33749	200.89
7.50	3.60	208	41210	198.12
7.20	3.33	229	45215	197.45
6.90	3.13	339	64864	191.34
6.60	2.84	360	68813	191.15
6.30	2.58	468	88963	190.09
6.00	2.39	688	129489	188.21
5.70	2.11	734	138575	188.79
5.40	1.87	970	182331	187.97
5.10	1.65	1398	264147	188.95
4.80	1.42	1575	297429	188.84
4.50	1.21	2151	408542	189.93
4.20	0.95	3167	610929	192.90
3.90	0.84	3754	725861	193.36
3.60	0.66	5285	1029441	194.79
3.30	0.43	10247	2071348	202.14
3.00	0.43	14547	2971511	204.27
2.70	0.28	20426	4221089	206.65
2.40	0.14	56013	12332596	220.17
2.10	0.14	96757	21849335	225.82
1.80	0.00	114848	26087429	227.15
1.50	0.00	442711	116999153	264.28
1.20	0.00	538642	144022341	267.38
0.90	0.00	1490124	531547760	356.71
0.60	0.00	2096898	1028980704	490.72
0.30	0.00	2254399	1758092530	779.85
