pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.74	138	28693	207.92
9.60	5.48	158	32652	206.66
9.30	5.21	167	34408	206.04
9.00	4.92	169	34933	206.70
8.70	4.74	263	54436	206.98
8.40	4.48	285	58781	206.25
8.10	4.22	320	66251	207.03
7.80	3.93	328	67785	206.66
7.50	3.67	568	117092	206.15
7.20	3.49	637	131282	206.09
6.90	3.23	726	149719	206.22
6.60	2.95	758	156288	206.18
6.30	2.67	784	161934	206.55
6.00	2.53	1445	301913	208.94
5.70	2.29	1706	357015	209.27
5.40	2.01	1829	382492	209.13
5.10	1.72	1876	391892	208.90
4.80	1.63	3584	766290	213.81
4.50	1.40	4314	925318	214.49
4.20	1.13	4634	995265	214.77
3.90	0.94	9135	2028751	222.09
3.60	0.94	12176	2716682	223.12
3.30	0.70	13806	3083306	223.33
3.00	0.46	16174	3617783	223.68
2.70	0.38	49312	11529476	233.81
2.40	0.38	71629	16939582	236.49
2.10	0.22	87542	20848286	238.15
1.80	0.09	323544	86566458	267.56
1.50	0.09	490903	136057954	277.16
1.20	0.06	614250	175070188	285.01
0.90	0.00	1881409	796375115	423.29
0.60	0.00	2162035	1003343794	464.07
0.30	0.00	468394	2838085334	6059.18
