pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.97	164	32312	197.02
9.60	5.71	214	41977	196.15
9.30	5.46	228	44583	195.54
9.00	5.19	252	48941	194.21
8.70	4.92	271	52562	193.96
8.40	4.69	375	72828	194.21
8.10	4.42	430	83239	193.58
7.80	4.15	476	92192	193.68
7.50	3.88	550	106427	193.50
7.20	3.65	764	147295	192.79
6.90	3.38	868	167045	192.45
6.60	3.11	972	187399	192.80
6.30	2.87	1423	274339	192.79
6.00	2.61	1551	298970	192.76
5.70	2.33	1670	322002	192.82
5.40	2.09	2184	421679	193.08
5.10	1.86	2758	540589	196.01
4.80	1.59	3064	601944	196.46
4.50	1.36	3947	782284	198.20
4.20	1.18	5185	1050925	202.69
3.90	0.93	5969	1215545	203.64
3.60	0.71	7431	1529269	205.80
3.30	0.60	12447	2632666	211.51
3.00	0.49	18129	3896585	214.94
2.70	0.26	20396	4405915	216.02
2.40	0.21	55976	12734580	227.50
2.10	0.19	83409	19399480	232.58
1.80	0.01	223514	57194006	255.89
1.50	0.01	388054	104244782	268.63
1.20	0.00	851689	269491797	316.42
0.90	0.00	1380799	494411210	358.06
0.60	0.00	2045688	1049567414	513.06
0.30	0.00	2223605	1688474100	759.34
