pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.04	12016	2772025	230.69
9.60	6.75	12469	2890834	231.84
9.30	6.45	12671	2944949	232.42
9.00	6.17	13589	3205797	235.91
8.70	5.88	14044	3340298	237.85
8.40	5.59	14461	3454983	238.92
8.10	5.31	15389	3736162	242.78
7.80	5.02	15913	3891124	244.52
7.50	4.73	16280	4005229	246.02
7.20	4.45	17079	4255264	249.15
6.90	4.16	17703	4474536	252.76
6.60	3.88	18363	4682467	254.99
6.30	3.59	18893	4883050	258.46
6.00	3.31	19895	5245607	263.66
5.70	3.02	20280	5391484	265.85
5.40	2.74	20958	5647268	269.46
5.10	2.47	22149	6109030	275.82
4.80	2.18	22543	6271503	278.20
4.50	1.91	23727	6752840	284.61
4.20	1.65	25026	7256964	289.98
3.90	1.38	26277	7813915	297.37
3.60	1.10	26915	8088555	300.52
3.30	0.92	31297	9632946	307.79
3.00	0.65	32536	10114094	310.86
2.70	0.45	47169	14279786	302.74
2.40	0.35	55647	16954171	304.67
2.10	0.09	60406	18531479	306.78
1.80	0.07	163316	48445606	296.64
1.50	0.00	186982	55663947	297.70
1.20	0.00	563574	188234776	334.00
0.90	0.00	787327	273980807	347.99
0.60	0.00	1502436	678651196	451.70
0.30	0.00	1920024	1622031562	844.80
