pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.66	2654	476105	179.39
9.60	6.38	3002	539376	179.67
9.30	6.10	3352	604490	180.34
9.00	5.83	3740	675043	180.49
8.70	5.53	3912	707585	180.88
8.40	5.26	4529	826532	182.50
8.10	4.98	5080	929476	182.97
7.80	4.69	5335	978174	183.35
7.50	4.42	6129	1134207	185.06
7.20	4.14	6757	1256805	186.00
6.90	3.85	7081	1320507	186.49
6.60	3.57	7842	1472763	187.80
6.30	3.30	8896	1689802	189.95
6.00	3.01	9304	1777383	191.03
5.70	2.74	10452	2020400	193.30
5.40	2.47	11461	2246940	196.05
5.10	2.19	12071	2384158	197.51
4.80	1.92	13358	2677473	200.44
4.50	1.68	14752	3017135	204.52
4.20	1.40	15768	3264447	207.03
3.90	1.14	16944	3562468	210.25
3.60	0.97	20102	4321349	214.97
3.30	0.71	21505	4688528	218.02
3.00	0.49	32875	7302715	222.14
2.70	0.44	39435	8867438	224.86
2.40	0.26	50563	11492277	227.29
2.10	0.15	118079	27833305	235.72
1.80	0.13	180690	43450818	240.47
1.50	0.00	423138	113675301	268.65
1.20	0.00	726997	206786433	284.44
0.90	0.00	1273130	445401144	349.85
0.60	0.00	1892016	755075902	399.09
0.30	0.00	2192753	1721571992	785.12
