pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.39	19	5424	285.47
9.60	4.11	21	5874	279.71
9.30	3.84	22	6065	275.68
9.00	3.56	25	6592	263.68
8.70	3.33	27	7406	274.30
8.40	3.07	29	8037	277.14
8.10	2.78	30	8310	277.00
7.80	2.57	38	10234	269.32
7.50	2.31	40	10732	268.30
7.20	2.04	42	11229	267.36
6.90	1.84	52	14138	271.88
6.60	1.63	59	15893	269.37
6.30	1.37	60	16686	278.10
6.00	1.15	91	25267	277.66
5.70	1.06	106	30836	290.91
5.40	0.83	122	35009	286.96
5.10	0.61	206	58012	281.61
4.80	0.61	247	72240	292.47
4.50	0.47	318	98360	309.31
4.20	0.29	639	206435	323.06
3.90	0.29	995	329770	331.43
3.60	0.20	1271	435095	342.32
3.30	0.10	3669	1331415	362.88
3.00	0.10	7184	2658950	370.12
2.70	0.00	21135	8532410	403.71
2.40	0.00	45164	19231050	425.80
2.10	0.00	63110	27491523	435.61
1.80	0.00	227073	122319206	538.68
1.50	0.00	333837	191116371	572.48
1.20	0.00	694409	583491011	840.27
0.90	0.00	876836	914690750	1043.17
0.60	0.00	752124	1842988820	2450.38
0.30	0.00	228376	2585496677	11321.23
