pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.44	194	61715	318.12
9.60	5.17	212	67036	316.21
9.30	4.91	231	73898	319.90
9.00	4.68	283	89627	316.70
8.70	4.42	319	100108	313.82
8.40	4.18	384	121473	316.34
8.10	3.90	426	135218	317.41
7.80	3.69	550	176805	321.46
7.50	3.44	628	202676	322.73
7.20	3.18	696	229146	329.23
6.90	2.98	946	318249	336.42
6.60	2.72	1047	356674	340.66
6.30	2.48	1207	419678	347.70
6.00	2.25	1631	581465	356.51
5.70	2.04	1833	666750	363.75
5.40	1.80	2108	793026	376.20
5.10	1.58	2534	983206	388.01
4.80	1.39	3322	1360574	409.56
4.50	1.18	4108	1736185	422.64
4.20	0.96	4774	2061303	431.78
3.90	0.83	6517	3004341	461.00
3.60	0.67	8685	4196749	483.22
3.30	0.44	10299	5124206	497.54
3.00	0.40	17536	9048162	515.98
2.70	0.26	24887	13154394	528.56
2.40	0.10	57055	30818822	540.16
2.10	0.10	98103	54832778	558.93
1.80	0.00	130121	75608454	581.06
1.50	0.00	385800	271420289	703.53
1.20	0.00	514481	398617824	774.80
0.90	0.00	824145	1116799848	1355.10
0.60	0.00	815426	1532579142	1879.48
0.30	0.00	231681	2560847410	11053.33
