pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.59	29	11825	407.76
9.60	4.32	29	11897	410.24
9.30	4.08	33	13939	422.39
9.00	3.88	36	14535	403.75
8.70	3.62	38	15014	395.11
8.40	3.37	43	15978	371.58
8.10	3.08	45	16377	363.93
7.80	2.86	61	21541	353.13
7.50	2.76	69	23028	333.74
7.20	2.51	78	24794	317.87
6.90	2.29	103	29926	290.54
6.60	2.02	111	32110	289.28
6.30	1.88	250	62518	250.07
6.00	1.77	297	72513	244.15
5.70	1.57	379	90178	237.94
5.40	1.32	420	99930	237.93
5.10	1.08	480	113118	235.66
4.80	1.05	1036	243222	234.77
4.50	0.96	1434	338878	236.32
4.20	0.75	1684	401351	238.33
3.90	0.52	1949	470417	241.36
3.60	0.42	6208	1733533	279.24
3.30	0.42	10426	3068563	294.32
3.00	0.40	14217	4340313	305.29
2.70	0.19	17146	5397436	314.79
2.40	0.11	99898	40811856	408.54
2.10	0.11	173457	76363092	440.24
1.80	0.11	233458	109215404	467.82
1.50	0.00	588449	453643972	770.91
1.20	0.00	928234	969793062	1044.77
0.90	0.00	967329	1215669446	1256.73
0.60	0.00	533256	2264410716	4246.39
0.30	0.00	694	2646361234	3813200.63
