pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.91	41	13105	319.63
9.60	4.68	52	15934	306.42
9.30	4.42	65	19843	305.28
9.00	4.16	69	20786	301.25
8.70	3.95	87	25657	294.91
8.40	3.69	108	31938	295.72
8.10	3.43	126	36346	288.46
7.80	3.19	143	41291	288.75
7.50	2.96	179	52269	292.01
7.20	2.71	199	59340	298.19
6.90	2.46	237	72391	305.45
6.60	2.27	311	96633	310.72
6.30	2.02	366	114378	312.51
6.00	1.79	455	142071	312.24
5.70	1.62	633	206822	326.73
5.40	1.38	715	237550	332.24
5.10	1.19	905	318564	352.00
4.80	1.05	1232	461553	374.64
4.50	0.83	1485	567433	382.11
4.20	0.66	2078	829413	399.14
3.90	0.61	3233	1365657	422.41
3.60	0.41	4685	2031965	433.72
3.30	0.29	8964	3966309	442.47
3.00	0.27	12480	5669029	454.25
2.70	0.15	19674	9236521	469.48
2.40	0.08	50476	24495522	485.29
2.10	0.08	86546	43858476	506.76
1.80	0.00	210989	118804786	563.09
1.50	0.00	345201	214182796	620.46
1.20	0.00	642599	516806233	804.24
0.90	0.00	853299	882788903	1034.56
0.60	0.00	763678	1825930635	2390.97
0.30	0.00	248719	2567895061	10324.48
