pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.60	33	10006	303.21
9.60	4.32	35	10413	297.51
9.30	4.05	38	10991	289.24
9.00	3.85	44	13453	305.75
8.70	3.59	47	15440	328.51
8.40	3.33	50	17569	351.38
8.10	3.06	59	19725	334.32
7.80	2.88	64	21218	331.53
7.50	2.64	74	23647	319.55
7.20	2.38	83	26604	320.53
6.90	2.24	114	37529	329.20
6.60	2.01	131	42504	324.46
6.30	1.77	145	48789	336.48
6.00	1.53	218	71228	326.73
5.70	1.47	302	97595	323.16
5.40	1.23	365	119141	326.41
5.10	0.98	410	137708	335.87
4.80	0.95	873	309845	354.92
4.50	0.78	1060	384121	362.38
4.20	0.56	1284	474068	369.21
3.90	0.52	3041	1164984	383.09
3.60	0.42	3952	1548469	391.82
3.30	0.26	5623	2244768	399.21
3.00	0.25	14094	6033068	428.06
2.70	0.18	20454	9001693	440.09
2.40	0.07	58947	28081095	476.38
2.10	0.07	98131	48509896	494.34
1.80	0.00	151897	79487700	523.30
1.50	0.00	423154	277697131	656.26
1.20	0.00	594470	444570137	747.84
0.90	0.00	888695	1151687157	1295.93
0.60	0.00	837704	1620786146	1934.80
0.30	0.00	218059	2586787972	11862.79
