pscore	qscore	npeaks	lpeaks	avelpeak
9.90	3.99	9	3192	354.67
9.60	3.70	9	3206	356.22
9.30	3.45	10	3616	361.60
9.00	3.16	10	3634	363.40
8.70	2.88	11	3869	351.73
8.40	2.60	13	4258	327.54
8.10	2.32	13	4288	329.85
7.80	2.17	15	5042	336.13
7.50	1.91	15	5054	336.93
7.20	1.67	16	5330	333.12
6.90	1.40	16	5456	341.00
6.60	1.13	18	5906	328.11
6.30	1.12	29	8693	299.76
6.00	1.05	35	10130	289.43
5.70	0.89	41	11527	281.15
5.40	0.62	41	11878	289.71
5.10	0.48	95	25159	264.83
4.80	0.48	148	36652	247.65
4.50	0.48	264	61950	234.66
4.20	0.40	303	71632	236.41
3.90	0.18	369	85908	232.81
3.60	0.17	3146	895774	284.73
3.30	0.17	6273	1862158	296.85
3.00	0.17	8472	2567067	303.01
2.70	0.05	8931	2729285	305.60
2.40	0.04	91713	36880390	402.13
2.10	0.04	155637	67340086	432.67
1.80	0.04	192772	86669543	449.60
1.50	0.00	599977	443886368	739.84
1.20	0.00	938867	962381317	1025.05
0.90	0.00	970326	1151685784	1186.91
0.60	0.00	492280	2406604771	4888.69
0.30	0.00	314	2683055988	8544764.29
