pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.78	33	12426	376.55
9.60	4.55	43	14950	347.67
9.30	4.29	49	16752	341.88
9.00	4.03	53	17749	334.89
8.70	3.75	54	18131	335.76
8.40	3.55	76	25216	331.79
8.10	3.27	78	26245	336.47
7.80	3.02	88	29436	334.50
7.50	2.83	122	40133	328.96
7.20	2.57	133	43666	328.32
6.90	2.32	151	49676	328.98
6.60	2.06	162	53399	329.62
6.30	1.92	235	80132	340.99
6.00	1.69	274	95959	350.22
5.70	1.44	314	109027	347.22
5.40	1.34	484	171996	355.36
5.10	1.13	619	226165	365.37
4.80	0.91	765	280529	366.70
4.50	0.82	1364	528911	387.76
4.20	0.72	1907	751879	394.27
3.90	0.49	2183	869593	398.35
3.60	0.43	5106	2186635	428.25
3.30	0.40	7581	3296371	434.82
3.00	0.17	19531	9114927	466.69
2.70	0.17	32781	15598407	475.84
2.40	0.12	41241	19759780	479.13
2.10	0.02	124253	68465931	551.02
1.80	0.02	191338	109269739	571.08
1.50	0.00	416505	307699177	738.76
1.20	0.00	636857	538559409	845.65
0.90	0.00	818371	1113606410	1360.76
0.60	0.00	774920	1740205879	2245.66
0.30	0.00	212286	2590538879	12203.06
