pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.74	32	10787	337.09
9.60	4.48	38	12040	316.84
9.30	4.21	40	12577	314.43
9.00	4.02	55	16680	303.27
8.70	3.76	58	17364	299.38
8.40	3.51	63	18918	300.29
8.10	3.27	73	23131	316.86
7.80	3.09	96	30687	319.66
7.50	2.83	113	35068	310.34
7.20	2.62	132	41165	311.86
6.90	2.37	198	63095	318.66
6.60	2.21	229	74621	325.86
6.30	2.01	291	95393	327.81
6.00	1.76	332	110152	331.78
5.70	1.63	530	179390	338.47
5.40	1.44	749	260146	347.32
5.10	1.23	871	312104	358.33
4.80	1.01	1472	557561	378.78
4.50	0.97	1927	751861	390.17
4.20	0.80	2547	1027129	403.27
3.90	0.57	2963	1215407	410.19
3.60	0.54	6209	2704196	435.53
3.30	0.47	9152	4116264	449.77
3.00	0.25	10780	4898083	454.37
2.70	0.21	30303	14348297	473.49
2.40	0.21	50473	24401976	483.47
2.10	0.05	128958	69936877	542.32
1.80	0.05	240314	140587091	585.01
1.50	0.02	348771	221289434	634.48
1.20	0.00	714667	689472728	964.75
0.90	0.00	863614	1074409526	1244.09
0.60	0.00	615232	2031093918	3301.35
0.30	0.00	318206	2463067208	7740.48
