pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.39	9	2465	273.89
9.60	4.12	9	2477	275.22
9.30	3.95	11	2852	259.27
9.00	3.74	12	3396	283.00
8.70	3.48	13	3575	275.00
8.40	3.22	14	3936	281.14
8.10	3.07	18	5034	279.67
7.80	2.85	19	5238	275.68
7.50	2.60	21	5592	266.29
7.20	2.33	23	5963	259.26
6.90	2.22	31	7714	248.84
6.60	2.00	33	8537	258.70
6.30	1.73	35	8928	255.09
6.00	1.46	36	9181	255.03
5.70	1.44	62	14289	230.47
5.40	1.21	70	15893	227.04
5.10	0.94	78	17416	223.28
4.80	0.82	260	52825	203.17
4.50	0.79	343	69123	201.52
4.20	0.56	407	81799	200.98
3.90	0.44	1424	287697	202.03
3.60	0.44	2131	431719	202.59
3.30	0.31	2837	574875	202.63
3.00	0.18	10825	2298634	212.34
2.70	0.18	18589	3990159	214.65
2.40	0.16	31795	6918934	217.61
2.10	0.04	100182	23857461	238.14
1.80	0.04	175712	42914949	244.23
1.50	0.02	256240	64200075	250.55
1.20	0.00	809168	247700818	306.12
0.90	0.00	1167977	381578555	326.70
0.60	0.00	2147872	1096169932	510.35
0.30	0.00	2313086	1559843029	674.36
