pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.03	10996	2563125	233.10
9.60	6.74	11326	2652622	234.21
9.30	6.44	11700	2748478	234.91
9.00	6.17	12649	3015714	238.42
8.70	5.87	13048	3120054	239.12
8.40	5.59	13591	3275944	241.04
8.10	5.31	14476	3544393	244.85
7.80	5.01	14788	3635515	245.84
7.50	4.73	15368	3811890	248.04
7.20	4.44	16194	4068734	251.25
6.90	4.15	16615	4209168	253.34
6.60	3.87	17521	4494140	256.50
6.30	3.59	18115	4708612	259.93
6.00	3.31	19106	5056890	264.68
5.70	3.02	19461	5193425	266.86
5.40	2.73	20220	5476098	270.83
5.10	2.46	21329	5897088	276.48
4.80	2.17	21804	6087276	279.18
4.50	1.90	22891	6535052	285.49
4.20	1.64	24172	7031913	290.91
3.90	1.37	25339	7542609	297.67
3.60	1.09	26023	7852179	301.74
3.30	0.91	29969	9240448	308.33
3.00	0.64	31389	9847014	313.71
2.70	0.45	43000	13258146	308.33
2.40	0.33	52113	16177465	310.43
2.10	0.08	56613	17684006	312.37
1.80	0.06	145344	44137705	303.68
1.50	0.00	174715	53245918	304.76
1.20	0.00	528944	180535341	341.31
0.90	0.00	1022683	435316359	425.66
0.60	0.00	1441817	665279584	461.42
0.30	0.00	1872417	1610648148	860.20
