pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.66	2343	426284	181.94
9.60	6.38	2706	494020	182.56
9.30	6.09	2928	535168	182.78
9.00	5.82	3245	593759	182.98
8.70	5.53	3409	625056	183.35
8.40	5.25	3976	733386	184.45
8.10	4.97	4482	829550	185.08
7.80	4.68	4685	868714	185.42
7.50	4.41	5430	1016122	187.13
7.20	4.13	5999	1126354	187.76
6.90	3.84	6323	1191290	188.41
6.60	3.56	7029	1331320	189.40
6.30	3.29	7997	1531425	191.50
6.00	3.00	8436	1622791	192.36
5.70	2.73	9578	1866181	194.84
5.40	2.46	10494	2067779	197.04
5.10	2.18	11278	2240863	198.69
4.80	1.91	12581	2540456	201.93
4.50	1.66	13844	2842355	205.31
4.20	1.39	15011	3124230	208.13
3.90	1.13	16165	3419056	211.51
3.60	0.95	18853	4069305	215.84
3.30	0.69	20420	4480640	219.42
3.00	0.49	30625	6863308	224.11
2.70	0.42	36092	8197479	227.13
2.40	0.25	47583	10947921	230.08
2.10	0.15	107872	25753181	238.74
1.80	0.11	169648	41400714	244.04
1.50	0.00	377697	102449998	271.25
1.20	0.00	669172	192606171	287.83
0.90	0.00	1203152	424915200	353.17
0.60	0.00	1840204	743971704	404.29
0.30	0.00	2157973	1710428548	792.61
