pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.56	32	7477	233.66
9.60	5.31	34	7842	230.65
9.30	5.08	48	10833	225.69
9.00	4.83	56	12410	221.61
8.70	4.56	61	13407	219.79
8.40	4.31	68	14946	219.79
8.10	4.09	93	19845	213.39
7.80	3.82	107	22662	211.79
7.50	3.57	126	26283	208.60
7.20	3.30	144	29978	208.18
6.90	3.09	211	42432	201.10
6.60	2.81	232	46543	200.62
6.30	2.56	313	61662	197.00
6.00	2.35	449	87441	194.75
5.70	2.08	497	96767	194.70
5.40	1.85	687	134463	195.72
5.10	1.64	970	189536	195.40
4.80	1.38	1078	210838	195.58
4.50	1.17	1504	295969	196.79
4.20	0.93	2230	445581	199.81
3.90	0.78	2670	534141	200.05
3.60	0.61	4019	809653	201.46
3.30	0.41	7748	1612438	208.11
3.00	0.40	12883	2729136	211.84
2.70	0.25	16008	3415468	213.36
2.40	0.11	44016	10008383	227.38
2.10	0.11	80693	18873314	233.89
1.80	0.00	183607	46894847	255.41
1.50	0.00	372798	101666491	272.71
1.20	0.00	535022	150670772	281.62
0.90	0.00	1341466	490630832	365.74
0.60	0.00	1956715	961390792	491.33
0.30	0.00	2168904	1740193724	802.34
