pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.93	110	21884	198.95
9.60	5.70	142	28677	201.95
9.30	5.44	158	31820	201.39
9.00	5.17	170	34130	200.76
8.70	4.91	200	40193	200.97
8.40	4.66	262	52614	200.82
8.10	4.39	298	59895	200.99
7.80	4.12	333	66595	199.98
7.50	3.85	375	75076	200.20
7.20	3.62	543	108445	199.71
6.90	3.35	608	121120	199.21
6.60	3.08	692	138008	199.43
6.30	2.86	1025	203550	198.59
6.00	2.58	1121	222916	198.85
5.70	2.30	1202	239280	199.07
5.40	2.07	1595	317658	199.16
5.10	1.83	2080	419749	201.80
4.80	1.56	2294	464347	202.42
4.50	1.33	3043	620015	203.75
4.20	1.13	3951	823081	208.32
3.90	0.89	4666	976685	209.32
3.60	0.68	5929	1250200	210.86
3.30	0.58	9634	2084650	216.38
3.00	0.45	14226	3137887	220.57
2.70	0.22	16501	3661904	221.92
2.40	0.18	43618	10208594	234.05
2.10	0.15	68115	16311638	239.47
1.80	0.00	190815	50202004	263.09
1.50	0.00	329792	91195770	276.53
1.20	0.00	729400	234457405	321.44
0.90	0.00	1253936	460284498	367.07
0.60	0.00	1912065	977903241	511.44
0.30	0.00	2141172	1671448111	780.62
