pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.29	25060	6703489	267.50
9.60	7.00	25372	6818057	268.72
9.30	6.71	25860	6996429	270.55
9.00	6.41	26094	7084931	271.52
8.70	6.13	26832	7348463	273.87
8.40	5.84	27419	7572094	276.16
8.10	5.55	27795	7711674	277.45
7.80	5.26	28579	7994833	279.75
7.50	4.97	29354	8282620	282.16
7.20	4.68	29788	8450082	283.67
6.90	4.40	30923	8885127	287.33
6.60	4.12	31614	9152765	289.52
6.30	3.83	32229	9395047	291.51
6.00	3.54	32855	9644198	293.54
5.70	3.27	34807	10393487	298.60
5.40	2.98	35407	10643734	300.61
5.10	2.69	36346	11030266	303.48
4.80	2.43	38851	12009467	309.12
4.50	2.14	40044	12512551	312.47
4.20	1.88	42827	13603511	317.64
3.90	1.61	45397	14664186	323.02
3.60	1.34	47141	15396064	326.60
3.30	1.10	52627	17553483	333.55
3.00	0.85	56635	19181091	338.68
2.70	0.60	61732	21136078	342.38
2.40	0.44	78921	27094825	343.32
2.10	0.22	94274	32080794	340.29
1.80	0.14	153683	49969273	325.15
1.50	0.00	238435	75515941	316.71
1.20	0.00	485921	153925683	316.77
0.90	0.00	785396	257838584	328.29
0.60	0.00	1752318	739012108	421.73
0.30	0.00	2144850	1651205417	769.85
