pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.57	4136	870619	210.50
9.60	6.29	4441	943988	212.56
9.30	6.00	4648	992874	213.61
9.00	5.72	4904	1053435	214.81
8.70	5.43	5049	1088274	215.54
8.40	5.15	5499	1198845	218.01
8.10	4.86	5638	1234582	218.98
7.80	4.58	5930	1309067	220.75
7.50	4.31	6396	1430492	223.65
7.20	4.02	6586	1479049	224.57
6.90	3.74	6924	1571263	226.93
6.60	3.45	7180	1640190	228.44
6.30	3.18	7676	1782750	232.25
6.00	2.90	8101	1901366	234.71
5.70	2.61	8354	1975747	236.50
5.40	2.35	9027	2178805	241.37
5.10	2.07	9455	2310106	244.33
4.80	1.79	9872	2433926	246.55
4.50	1.55	10938	2770745	253.31
4.20	1.28	11508	2958101	257.05
3.90	1.01	11872	3080987	259.52
3.60	0.84	13824	3705220	268.03
3.30	0.60	14815	4009873	270.66
3.00	0.37	19961	5404025	270.73
2.70	0.34	25222	6781572	268.88
2.40	0.13	29343	7846826	267.42
2.10	0.08	76782	19916390	259.39
1.80	0.04	112023	28933433	258.28
1.50	0.00	316848	88490164	279.28
1.20	0.00	524164	151676943	289.37
0.90	0.00	1163610	415676120	357.23
0.60	0.00	1831505	767131852	418.85
0.30	0.00	2086463	1817643929	871.16
