pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.42	31630	9289901	293.71
9.60	7.13	31931	9413676	294.81
9.30	6.84	32523	9652089	296.78
9.00	6.55	33105	9875411	298.31
8.70	6.25	33563	10054033	299.56
8.40	5.97	34383	10381218	301.93
8.10	5.67	34667	10487387	302.52
7.80	5.38	35368	10753263	304.04
7.50	5.10	36398	11161354	306.65
7.20	4.80	36860	11362870	308.27
6.90	4.52	37711	11716389	310.69
6.60	4.23	38718	12123676	313.13
6.30	3.94	39335	12387938	314.93
6.00	3.65	40334	12793947	317.20
5.70	3.37	41664	13348792	320.39
5.40	3.08	42683	13772480	322.67
5.10	2.80	43935	14279964	325.02
4.80	2.51	45385	14897196	328.24
4.50	2.23	46939	15559199	331.48
4.20	1.96	49172	16480785	335.17
3.90	1.68	51117	17328462	339.00
3.60	1.40	53571	18386273	343.21
3.30	1.13	57017	19823066	347.67
3.00	0.86	59614	20968536	351.74
2.70	0.61	65406	23365822	357.24
2.40	0.35	70210	25515938	363.42
2.10	0.09	76269	28262541	370.56
1.80	0.00	89631	33442829	373.12
1.50	0.00	102846	39072161	379.91
1.20	0.00	159679	57853887	362.31
0.90	0.00	192456	71207400	369.99
0.60	0.00	478649	165366602	345.49
0.30	0.00	1313126	513209249	390.83
