pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.65	4581	928065	202.59
9.60	6.36	4838	984779	203.55
9.30	6.08	5068	1034442	204.11
9.00	5.80	5493	1126330	205.05
8.70	5.52	5849	1206576	206.29
8.40	5.24	6334	1315569	207.70
8.10	4.96	6627	1382133	208.56
7.80	4.68	7209	1519718	210.81
7.50	4.41	7814	1659614	212.39
7.20	4.12	8183	1748463	213.67
6.90	3.84	8499	1827806	215.06
6.60	3.58	9615	2105347	218.96
6.30	3.29	9860	2169205	220.00
6.00	3.00	10210	2259153	221.27
5.70	2.74	11225	2521343	224.62
5.40	2.47	12011	2736587	227.84
5.10	2.18	12412	2848848	229.52
4.80	1.92	13565	3174006	233.98
4.50	1.66	14632	3480368	237.86
4.20	1.39	15356	3692276	240.45
3.90	1.14	16729	4114199	245.93
3.60	0.95	18898	4714820	249.49
3.30	0.71	20937	5315417	253.88
3.00	0.49	23474	6030818	256.91
2.70	0.37	35644	9023411	253.15
2.40	0.26	50423	12677906	251.43
2.10	0.09	61189	15474131	252.89
1.80	0.03	174591	44659901	255.80
1.50	0.03	277712	72679655	261.71
1.20	0.00	735809	223262727	303.42
0.90	0.00	1178000	389390561	330.55
0.60	0.00	2068257	1008907447	487.81
0.30	0.00	2338048	1557926709	666.34
