pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.16	16620	5063292	304.65
9.60	6.86	16791	5136255	305.89
9.30	6.57	16950	5210106	307.38
9.00	6.28	17387	5410867	311.20
8.70	5.98	17503	5470749	312.56
8.40	5.69	17769	5597054	314.99
8.10	5.41	18188	5799548	318.87
7.80	5.11	18387	5897792	320.76
7.50	4.82	18683	6031597	322.84
7.20	4.54	19236	6293783	327.19
6.90	4.25	19491	6430788	329.94
6.60	3.96	19966	6684817	334.81
6.30	3.67	20178	6810263	337.51
6.00	3.38	20652	7044345	341.10
5.70	3.10	21283	7384344	346.96
5.40	2.81	21650	7583748	350.29
5.10	2.53	22360	7945357	355.34
4.80	2.26	23168	8395889	362.39
4.50	1.97	23785	8741117	367.51
4.20	1.71	25094	9414365	375.16
3.90	1.44	26333	10046811	381.53
3.60	1.17	28100	10851503	386.17
3.30	0.93	30016	11767344	392.04
3.00	0.70	33289	13178825	395.89
2.70	0.52	40936	15987701	390.55
2.40	0.33	51269	19538527	381.10
2.10	0.13	82652	29246403	353.85
1.80	0.11	131210	43944901	334.92
1.50	0.00	171125	57321199	334.97
1.20	0.00	508942	169609165	333.26
0.90	0.00	922610	341151191	369.77
0.60	0.00	1575215	680618181	432.08
0.30	0.00	2041033	1646402193	806.65
