pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.02	9	3246	360.67
9.60	3.73	9	3250	361.11
9.30	3.50	11	3848	349.82
9.00	3.21	15	4621	308.07
8.70	2.95	16	4900	306.25
8.40	2.67	17	5132	301.88
8.10	2.39	18	5329	296.06
7.80	2.24	20	6336	316.80
7.50	1.98	20	6479	323.95
7.20	1.74	20	6551	327.55
6.90	1.47	21	6904	328.76
6.60	1.18	22	7178	326.27
6.30	1.17	34	9956	292.82
6.00	1.11	37	10585	286.08
5.70	0.93	42	11692	278.38
5.40	0.66	43	12077	280.86
5.10	0.51	122	28343	232.32
4.80	0.51	181	40142	221.78
4.50	0.51	314	65920	209.94
4.20	0.43	348	72566	208.52
3.90	0.21	424	87415	206.17
3.60	0.20	3343	673223	201.38
3.30	0.20	5806	1175137	202.40
3.00	0.20	7757	1572221	202.68
2.70	0.07	8074	1636919	202.74
2.40	0.05	80063	17844197	222.88
2.10	0.05	130056	29529349	227.05
1.80	0.05	161291	37007394	229.44
1.50	0.00	760339	222515688	292.65
1.20	0.00	1374915	437195221	317.98
0.90	0.00	1666474	558514888	335.15
0.60	0.00	1552941	1976223589	1272.57
0.30	0.00	58482	2987267786	51080.12
