pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.77	39	12064	309.33
9.60	4.51	45	13283	295.18
9.30	4.24	48	13987	291.40
9.00	4.07	61	17122	280.69
8.70	3.81	68	18627	273.93
8.40	3.56	70	19171	273.87
8.10	3.30	79	21275	269.30
7.80	3.13	106	27790	262.17
7.50	2.87	117	30127	257.50
7.20	2.66	138	36056	261.28
6.90	2.41	220	54587	248.12
6.60	2.25	245	60729	247.87
6.30	2.06	314	77845	247.91
6.00	1.80	352	86797	246.58
5.70	1.66	531	132364	249.27
5.40	1.48	700	174470	249.24
5.10	1.28	816	205053	251.29
4.80	1.04	1397	351947	251.93
4.50	1.02	1810	459948	254.11
4.20	0.85	2379	607965	255.55
3.90	0.60	2661	682093	256.33
3.60	0.57	5738	1484838	258.77
3.30	0.51	8078	2101756	260.18
3.00	0.28	9473	2477317	261.51
2.70	0.23	26211	6825342	260.40
2.40	0.23	41044	10716880	261.11
2.10	0.07	108342	29032647	267.97
1.80	0.07	203216	55601506	273.61
1.50	0.04	288024	80342618	278.94
1.20	0.00	872098	289064359	331.46
0.90	0.00	1227837	432697632	352.41
0.60	0.00	2100121	1185518321	564.50
0.30	0.00	2262694	1589277488	702.38
