pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.64	33	12713	385.24
9.60	4.36	33	12743	386.15
9.30	4.09	40	15555	388.88
9.00	3.94	42	16211	385.98
8.70	3.67	44	16746	380.59
8.40	3.42	53	18451	348.13
8.10	3.14	56	19035	339.91
7.80	2.90	81	25925	320.06
7.50	2.83	96	28882	300.85
7.20	2.58	114	32376	284.00
6.90	2.35	142	37898	266.89
6.60	2.08	148	39487	266.80
6.30	1.92	341	78649	230.64
6.00	1.85	402	90781	225.82
5.70	1.64	488	108042	221.40
5.40	1.37	524	115434	220.29
5.10	1.12	582	127505	219.08
4.80	1.09	1321	276820	209.55
4.50	1.01	1757	364244	207.31
4.20	0.80	2015	416899	206.90
3.90	0.57	2279	470997	206.67
3.60	0.46	7313	1523165	208.28
3.30	0.46	11462	2388012	208.34
3.00	0.44	13388	2797959	208.99
2.70	0.22	17382	3654140	210.23
2.40	0.14	97924	22157312	226.27
2.10	0.14	159462	36854808	231.12
1.80	0.14	213685	50328619	235.53
1.50	0.00	760088	224443280	295.29
1.20	0.00	1440260	465265979	323.04
0.90	0.00	1762140	606076666	343.94
0.60	0.00	1449772	1864917347	1286.35
0.30	0.00	36983	2939922998	79493.90
