pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.94	51	17828	349.57
9.60	4.70	62	20161	325.18
9.30	4.48	75	23469	312.92
9.00	4.22	82	25204	307.37
8.70	3.96	88	26979	306.58
8.40	3.74	100	29942	299.42
8.10	3.51	114	33557	294.36
7.80	3.26	135	38667	286.42
7.50	3.06	170	47138	277.28
7.20	2.81	184	50618	275.10
6.90	2.62	218	60404	277.08
6.60	2.39	267	72634	272.04
6.30	2.20	369	96384	261.20
6.00	1.96	456	116522	255.53
5.70	1.81	651	165754	254.61
5.40	1.63	915	232454	254.05
5.10	1.40	1068	274161	256.71
4.80	1.26	1537	394638	256.76
4.50	1.11	2271	582896	256.67
4.20	0.90	2905	752536	259.05
3.90	0.70	4261	1104722	259.26
3.60	0.67	6138	1621561	264.18
3.30	0.49	8702	2343678	269.33
3.00	0.27	17441	4588657	263.10
2.70	0.27	26429	7096844	268.52
2.40	0.17	33225	9068452	272.94
2.10	0.07	106271	28984742	272.74
1.80	0.07	146477	40839761	278.81
1.50	0.00	238174	69736552	292.80
1.20	0.00	682127	220738486	323.60
0.90	0.00	1020137	359175390	352.09
0.60	0.00	2000632	1044284648	521.98
0.30	0.00	2205758	1499245810	679.70
