pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.15	14	4221	301.50
9.60	3.86	14	4234	302.43
9.30	3.57	15	4438	295.87
9.00	3.31	15	4627	308.47
8.70	3.02	15	4633	308.87
8.40	2.73	15	4669	311.27
8.10	2.47	16	4974	310.88
7.80	2.19	16	4979	311.19
7.50	1.91	18	5571	309.50
7.20	1.62	18	5600	311.11
6.90	1.45	22	6891	313.23
6.60	1.20	22	6932	315.09
6.30	0.93	23	7223	314.04
6.00	0.87	26	8010	308.08
5.70	0.67	26	8164	314.00
5.40	0.45	27	8382	310.44
5.10	0.37	47	13345	283.94
4.80	0.37	55	15268	277.60
4.50	0.23	63	16995	269.76
4.20	0.15	210	47525	226.31
3.90	0.15	332	73153	220.34
3.60	0.06	377	82618	219.15
3.30	0.05	1824	395921	217.06
3.00	0.05	3165	687003	217.06
2.70	0.00	12189	2781949	228.23
2.40	0.00	23804	5479290	230.18
2.10	0.00	68255	16939079	248.17
1.80	0.00	147509	37761631	256.00
1.50	0.00	189991	48965869	257.73
1.20	0.00	660192	203527662	308.29
0.90	0.00	1222747	457770050	374.38
0.60	0.00	1916313	864789284	451.28
0.30	0.00	1970447	1870010168	949.03
