pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.81	34	11645	342.50
9.60	4.58	45	14034	311.87
9.30	4.32	49	14949	305.08
9.00	4.06	53	15951	300.96
8.70	3.77	57	16899	296.47
8.40	3.57	79	22039	278.97
8.10	3.30	83	22989	276.98
7.80	3.05	96	25899	269.78
7.50	2.85	120	32169	268.07
7.20	2.59	132	35229	266.89
6.90	2.35	145	38584	266.10
6.60	2.09	157	41508	264.38
6.30	1.95	212	56748	267.68
6.00	1.71	254	66890	263.35
5.70	1.47	294	76773	261.13
5.40	1.37	433	112189	259.10
5.10	1.16	516	133345	258.42
4.80	0.93	622	159520	256.46
4.50	0.84	1083	274396	253.37
4.20	0.75	1505	384221	255.30
3.90	0.50	1708	436834	255.76
3.60	0.44	3654	919406	251.62
3.30	0.42	5415	1362361	251.59
3.00	0.19	14176	3517868	248.16
2.70	0.19	22730	5646394	248.41
2.40	0.14	27743	6909493	249.05
2.10	0.03	87241	22568291	258.69
1.80	0.03	137541	35920434	261.16
1.50	0.00	371524	107943799	290.54
1.20	0.00	604086	182386239	301.92
0.90	0.00	1229297	458802721	373.22
0.60	0.00	1876859	813703233	433.55
0.30	0.00	2029766	1852293187	912.56
