pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.45	182	46758	256.91
9.60	5.18	200	50709	253.54
9.30	4.93	228	58430	256.27
9.00	4.70	273	71006	260.10
8.70	4.44	313	80342	256.68
8.40	4.19	361	92565	256.41
8.10	3.92	397	101177	254.85
7.80	3.70	513	132485	258.26
7.50	3.45	583	151597	260.03
7.20	3.19	648	169959	262.28
6.90	3.00	863	231475	268.22
6.60	2.74	965	260899	270.36
6.30	2.49	1077	293606	272.61
6.00	2.26	1308	361307	276.23
5.70	2.05	1637	459165	280.49
5.40	1.81	1883	534140	283.66
5.10	1.59	2277	655993	288.10
4.80	1.41	2940	864777	294.14
4.50	1.19	3518	1041739	296.12
4.20	0.97	4230	1267405	299.62
3.90	0.85	5738	1756545	306.12
3.60	0.69	7686	2390956	311.08
3.30	0.45	8835	2760459	312.45
3.00	0.42	14665	4517194	308.03
2.70	0.29	20881	6416476	307.29
2.40	0.10	43488	12781932	293.92
2.10	0.10	71888	20925611	291.09
1.80	0.00	94765	27870755	294.10
1.50	0.00	312238	94135639	301.49
1.20	0.00	432262	133585712	309.04
0.90	0.00	1184759	448079333	378.20
0.60	0.00	1599093	666251872	416.64
0.30	0.00	2081617	1755511372	843.34
