pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.04	12	3034	252.83
9.60	3.77	12	3139	261.58
9.30	3.47	12	3146	262.17
9.00	3.19	12	3305	275.42
8.70	2.90	13	3490	268.46
8.40	2.68	15	4146	276.40
8.10	2.39	15	4173	278.20
7.80	2.11	17	4696	276.24
7.50	1.89	19	5504	289.68
7.20	1.62	19	5747	302.47
6.90	1.34	19	5792	304.84
6.60	1.11	20	6167	308.35
6.30	1.01	22	6682	303.73
6.00	0.76	23	6907	300.30
5.70	0.54	24	7264	302.67
5.40	0.49	31	8956	288.90
5.10	0.44	34	9679	284.68
4.80	0.26	37	10551	285.16
4.50	0.21	103	24532	238.17
4.20	0.21	141	32376	229.62
3.90	0.12	201	46514	231.41
3.60	0.08	985	215389	218.67
3.30	0.08	1231	267362	217.19
3.00	0.02	6740	1516111	224.94
2.70	0.02	10258	2318181	225.99
2.40	0.02	16866	3846582	228.07
2.10	0.00	67912	16746903	246.60
1.80	0.00	119975	30287975	252.45
1.50	0.00	333001	95097322	285.58
1.20	0.00	589224	177966103	302.03
0.90	0.00	1289001	494150244	383.36
0.60	0.00	1797770	775977889	431.63
0.30	0.00	2015869	1831920116	908.75
