pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.64	33	10431	316.09
9.60	4.35	37	11187	302.35
9.30	4.08	38	11450	301.32
9.00	3.87	43	13183	306.58
8.70	3.61	45	13807	306.82
8.40	3.35	51	15201	298.06
8.10	3.07	53	15745	297.08
7.80	2.90	66	18647	282.53
7.50	2.67	76	20965	275.86
7.20	2.40	82	22274	271.63
6.90	2.26	113	30138	266.71
6.60	2.05	130	33878	260.60
6.30	1.79	144	37167	258.10
6.00	1.55	210	52547	250.22
5.70	1.49	288	70525	244.88
5.40	1.25	340	82618	242.99
5.10	1.00	371	90579	244.15
4.80	0.97	745	180618	242.44
4.50	0.80	907	220051	242.61
4.20	0.58	1097	264910	241.49
3.90	0.53	2473	597727	241.70
3.60	0.45	3218	775439	240.97
3.30	0.27	4419	1065366	241.09
3.00	0.27	10827	2613503	241.39
2.70	0.19	15131	3656309	241.64
2.40	0.08	43079	10593576	245.91
2.10	0.08	71226	17624088	247.44
1.80	0.00	104084	26096241	250.72
1.50	0.00	341963	93244276	272.67
1.20	0.00	523428	148533281	283.77
0.90	0.00	1308127	459389202	351.18
0.60	0.00	1802236	714723093	396.58
0.30	0.00	2161975	1827862242	845.46
