pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.99	107	28177	263.34
9.60	4.71	115	30101	261.75
9.30	4.43	117	30836	263.56
9.00	4.14	121	32113	265.40
8.70	3.86	126	33582	266.52
8.40	3.58	132	35149	266.28
8.10	3.30	135	36138	267.69
7.80	3.01	138	37356	270.70
7.50	2.75	148	39922	269.74
7.20	2.47	155	41906	270.36
6.90	2.19	160	43924	274.52
6.60	1.95	174	48165	276.81
6.30	1.68	178	50176	281.89
6.00	1.41	185	52610	284.38
5.70	1.24	215	60509	281.44
5.40	1.00	230	64294	279.54
5.10	0.75	245	68169	278.24
4.80	0.67	297	80957	272.58
4.50	0.52	339	91407	269.64
4.20	0.37	400	106047	265.12
3.90	0.30	761	180899	237.71
3.60	0.24	976	227458	233.05
3.30	0.15	3064	672480	219.48
3.00	0.15	4730	1034064	218.62
2.70	0.09	8778	1926423	219.46
2.40	0.03	27218	6202228	227.87
2.10	0.02	51493	12026539	233.56
1.80	0.00	133116	33393268	250.86
1.50	0.00	259021	68584604	264.78
1.20	0.00	588884	176236928	299.27
0.90	0.00	974112	321031069	329.56
0.60	0.00	1865584	862578349	462.36
0.30	0.00	2017116	1753248637	869.19
