pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.90	73	18753	256.89
9.60	4.63	82	20817	253.87
9.30	4.36	89	22389	251.56
9.00	4.07	94	23520	250.21
8.70	3.79	102	25467	249.68
8.40	3.51	105	26354	250.99
8.10	3.25	113	28674	253.75
7.80	2.97	118	29926	253.61
7.50	2.71	131	33157	253.11
7.20	2.44	144	36281	251.95
6.90	2.17	153	39122	255.70
6.60	1.92	169	43442	257.05
6.30	1.65	181	46872	258.96
6.00	1.44	197	50979	258.78
5.70	1.19	209	54625	261.36
5.40	0.97	227	60667	267.26
5.10	0.82	280	73448	262.31
4.80	0.69	296	77541	261.96
4.50	0.53	357	92079	257.92
4.20	0.36	625	151137	241.82
3.90	0.36	730	174408	238.92
3.60	0.30	1081	251269	232.44
3.30	0.15	3855	853175	221.32
3.00	0.15	7130	1565851	219.61
2.70	0.14	9110	2002619	219.83
2.40	0.02	35069	8123995	231.66
2.10	0.02	66011	15621805	236.65
1.80	0.00	177474	46662271	262.92
1.50	0.00	370773	102525117	276.52
1.20	0.00	433929	120331058	277.31
0.90	0.00	1305813	485557839	371.84
0.60	0.00	1885818	961186899	509.69
0.30	0.00	2113009	1737637228	822.35
