pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.54	30	7299	243.30
9.60	4.25	30	7394	246.47
9.30	3.99	32	8055	251.72
9.00	3.70	32	8119	253.72
8.70	3.43	33	8571	259.73
8.40	3.15	35	9045	258.43
8.10	2.90	39	10290	263.85
7.80	2.62	43	11116	258.51
7.50	2.35	44	11377	258.57
7.20	2.15	49	13029	265.90
6.90	1.91	53	13909	262.43
6.60	1.65	60	15339	255.65
6.30	1.52	70	17737	253.39
6.00	1.33	77	19417	252.17
5.70	1.11	85	21344	251.11
5.40	0.98	111	27172	244.79
5.10	0.92	130	31115	239.35
4.80	0.72	147	35260	239.86
4.50	0.65	299	66517	222.46
4.20	0.64	416	91489	219.93
3.90	0.42	506	110166	217.72
3.60	0.42	1884	406837	215.94
3.30	0.36	2586	557214	215.47
3.00	0.24	8979	1987375	221.34
2.70	0.24	14497	3229293	222.76
2.40	0.11	38236	8983543	234.95
2.10	0.11	71646	17254698	240.83
1.80	0.02	169584	44074065	259.90
1.50	0.02	314450	86164516	274.02
1.20	0.00	670952	209693245	312.53
0.90	0.00	1086009	371916667	342.46
0.60	0.00	1860774	895799314	481.41
0.30	0.00	1977435	1727697483	873.71
